H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
1.136363636,0.15,1.658181818,0.290909091,435,0.00514318,0.051431802,0.009535375,0.171621818
1.654545455,1.445454545,0.290909091,1.658181818,376,0.006408363,0.064083626,0.025026885,0.290142149
2,2.222727273,0.803636364,0.974545455,420,0.005021267,0.050212669,0.065271453,1.23252248
0.445454545,2.740909091,1.487272727,0.290909091,333,0.000648871,0.006488708,0.00248744,2.812770743
1.481818182,0.927272727,0.12,1.829090909,321,0.00623514,0.062351403,0.006269488,0.076778182
0.445454545,1.445454545,0.461818182,0.12,334,0.000625996,0.006259963,0.000379114,0.460600661
0.963636364,2.740909091,0.803636364,0.461818182,492,0.006093805,0.060938051,0.118544727,1.519859009
1.136363636,2.740909091,1.658181818,0.12,417,0.006925123,0.069251225,0.315887623,3.135998677
0.790909091,2.222727273,0.290909091,0.974545455,356,0.000679161,0.006791611,0.000432255,0.446161984
0.618181818,1.186363636,0.632727273,0.290909091,406,0.0069522,0.069522004,0.052581123,0.517944793
0.963636364,1.704545455,0.12,1.829090909,307,0.000679087,0.006790867,0.000136707,0.141136364
1.481818182,3,0.632727273,1.658181818,463,0.005759263,0.057592627,0.09124782,1.309745455
0.963636364,3,1.487272727,0.290909091,400,0.006916476,0.069164755,0.309337423,3.078654545
0.790909091,2.222727273,1.145454545,0.803636364,459,0.006145509,0.06145509,0.139357602,1.756762809
0.790909091,1.445454545,0.974545455,0.290909091,358,0.006058056,0.060580555,0.074924516,0.971976198
1.481818182,2.481818182,0.632727273,1.487272727,378,0.006660577,0.066605772,0.100962747,1.083516695
0.618181818,0.15,0.461818182,1.487272727,405,0.005044655,0.050446551,0.002554913,0.047798182
1.309090909,1.704545455,1.145454545,0.974545455,378,0.00665201,0.066520098,0.125211182,1.347210744
0.790909091,1.445454545,2,1.145454545,456,0.006398024,0.063980237,0.171505098,1.994727272
1.827272727,0.668181818,1.145454545,1.316363636,317,0.006378571,0.063785706,0.045130501,0.528106611
1.136363636,2.481818182,2,1.487272727,488,0.006030598,0.060305977,0.261620386,3.424909091
2,3,1.658181818,0.290909091,396,0.006754928,0.067549278,0.328962002,3.432436363
0.618181818,2.481818182,0.974545455,0.803636364,434,0.005410056,0.054100563,0.102595082,1.668864794
1.136363636,1.963636364,0.461818182,0.803636364,491,0.006141666,0.061416662,0.049574166,0.625721653
1.827272727,2.222727273,0.974545455,1.829090909,405,0.006896293,0.068962932,0.149303718,1.494642646
1.827272727,2.481818182,0.461818182,0.632727273,389,0.006423883,0.064238831,0.068546796,0.790842645
2,1.704545455,1.658181818,1.829090909,391,0.006671177,0.066711772,0.182304168,1.950247934
1.136363636,1.704545455,0.974545455,0.803636364,430,0.005212609,0.052126093,0.065414187,1.146198348
0.445454545,0.668181818,0.290909091,1.145454545,325,0.000626517,0.006265172,0.000110578,0.134122314
1.654545455,1.186363636,1.658181818,1.316363636,436,0.005276847,0.052768472,0.079387097,1.357372562
1.309090909,0.927272727,1.316363636,0.632727273,483,0.005719463,0.057194631,0.057868843,0.842233388
1.136363636,0.668181818,1.145454545,1.487272727,332,0.00066314,0.006631397,0.000487791,0.528106611
0.963636364,0.409090909,2,0.461818182,477,0.005980861,0.059808606,0.042415842,0.564545454
1.309090909,0.15,1.145454545,1.145454545,490,0.006025407,0.060254067,0.009040506,0.118554546
2,1.186363636,1.316363636,1.658181818,346,0.000605283,0.006052832,0.000829205,1.077563306
1.654545455,0.927272727,0.461818182,0.290909091,378,0.006334439,0.063344387,0.024902658,0.295479669
1.654545455,0.668181818,0.290909091,0.290909091,421,0.005191756,0.051917556,0.007593314,0.134122314
1.481818182,0.668181818,1.829090909,1.487272727,400,0.00660145,0.066014495,0.07718972,0.843294049
2,1.186363636,1.145454545,1.316363636,473,0.005902385,0.059023851,0.068612253,0.937658677
0.790909091,1.445454545,1.145454545,0.461818182,384,0.006526625,0.065266248,0.102214028,1.14243471
0.790909091,2.740909091,2,1.829090909,459,0.005720605,0.057206052,0.259991703,3.782454546
0.618181818,1.186363636,0.461818182,1.316363636,485,0.005954251,0.059542514,0.028151018,0.378040166
0.790909091,0.668181818,1.829090909,1.487272727,465,0.005687303,0.056873031,0.05729195,0.843294049
0.963636364,1.704545455,1.316363636,2,407,0.006834154,0.068341543,0.151881519,1.548223141
0.618181818,1.445454545,1.145454545,0.803636364,440,0.005266752,0.052667524,0.066560873,1.14243471
2,0.927272727,0.632727273,1.487272727,435,0.005276983,0.052769831,0.023678073,0.404830413
0.790909091,0.409090909,1.829090909,1.487272727,381,0.006748701,0.06748701,0.049390839,0.516302479
1.654545455,0.927272727,0.12,0.803636364,374,0.006187272,0.061872715,0.006173593,0.076778182
0.963636364,0.15,1.829090909,1.487272727,400,0.006838683,0.068386828,0.018596122,0.189310909
1.654545455,3,0.290909091,1.658181818,371,0.006118942,0.061189417,0.047356772,0.602181818
0.445454545,1.704545455,0.290909091,0.461818182,439,0.005247768,0.052477681,0.019790923,0.342148761
0.790909091,1.963636364,0.632727273,0.12,398,0.006817864,0.068178638,0.083699945,0.857287935
1.136363636,1.186363636,0.803636364,0.974545455,430,0.005122636,0.051226355,0.03625895,0.657849422
0.445454545,3,1.316363636,1.316363636,362,0.000663159,0.006631594,0.002517004,2.724872727
0.790909091,0.668181818,0.461818182,0.974545455,322,0.000668324,0.006683241,0.000199752,0.212919173
1.827272727,1.445454545,2,1.487272727,438,0.005231122,0.052311218,0.114650251,1.994727272
0.790909091,2.740909091,0.461818182,0.461818182,474,0.005819563,0.058195627,0.062129416,0.873403141
1.481818182,2.740909091,1.487272727,1.829090909,363,0.005254196,0.052541963,0.16309804,2.812770743
1.136363636,2.740909091,0.290909091,2,310,0.000669105,0.006691047,0.000517358,0.550175207
1.654545455,0.668181818,1.145454545,1.658181818,454,0.005672222,0.056722224,0.035688634,0.528106611
2,0.927272727,1.487272727,0.12,327,0.000655838,0.006558383,0.000859691,0.951584132
1.136363636,0.409090909,0.461818182,1.316363636,372,0.006765479,0.067654794,0.012532535,0.130358678
1.827272727,1.445454545,0.974545455,1.658181818,412,0.006823622,0.06823622,0.095057715,0.971976198
1.136363636,1.186363636,1.658181818,0.290909091,417,0.005079928,0.050799276,0.07357257,1.357372562
1.309090909,0.927272727,1.487272727,0.12,404,0.006834649,0.068346486,0.093364417,0.951584132
1.481818182,2.222727273,0.12,1.316363636,399,0.005282367,0.05282367,0.010786374,0.184041818
1.654545455,1.186363636,1.658181818,0.461818182,420,0.005145911,0.05145911,0.075496258,1.357372562
0.445454545,3,1.316363636,1.658181818,409,0.006815071,0.068150705,0.265820669,2.724872727
1.654545455,2.740909091,1.316363636,1.658181818,470,0.005829325,0.058293248,0.177687929,2.489542809
1.481818182,1.704545455,1.145454545,1.487272727,465,0.005679184,0.056791839,0.091266043,1.347210744
1.136363636,2.481818182,0.803636364,0.290909091,301,0.000625998,0.006259979,0.001132729,1.376190745
2,2.222727273,0.632727273,1.829090909,373,0.006280752,0.06280752,0.080403866,0.970402315
0.790909091,0.668181818,0.12,1.316363636,363,0.006479655,0.064796549,0.004878997,0.055325454
0.618181818,3,1.487272727,1.487272727,487,0.006117431,0.061174309,0.241991952,3.078654545
1.136363636,0.927272727,1.316363636,1.487272727,392,0.006098974,0.060989741,0.065803327,0.842233388
0.618181818,2.740909091,0.290909091,2,300,0.006156175,0.061561745,0.043795015,0.550175207
0.790909091,0.409090909,0.974545455,0.803636364,324,0.000633029,0.006330291,0.000231537,0.275087603
1.654545455,2.740909091,1.658181818,2,408,0.006803957,0.068039572,0.304930479,3.135998677
1.654545455,1.704545455,2,1.829090909,495,0.006318875,0.063188752,0.197273635,2.352272728
1.654545455,1.186363636,2,1.145454545,451,0.005557712,0.055577117,0.1062162,1.637181818
1.827272727,1.186363636,1.316363636,1.487272727,387,0.006886825,0.06886825,0.107345219,1.077563306
1.309090909,2.481818182,0.12,0.12,436,0.005225682,0.052256824,0.011786589,0.205494546
1.654545455,2.222727273,0.12,0.290909091,350,0.000658188,0.006581884,0.000167463,0.184041818
0.790909091,2.481818182,1.658181818,0.12,478,0.005847898,0.058478984,0.203963595,2.839560992
0.790909091,1.704545455,1.145454545,0.632727273,409,0.006692573,0.066925734,0.126742901,1.347210744
0.445454545,1.704545455,0.632727273,0.974545455,469,0.006181185,0.061811851,0.059719966,0.744173554
0.445454545,2.481818182,0.12,0.12,422,0.005247248,0.052472475,0.01188407,0.205494546
0.963636364,0.668181818,0.803636364,0.461818182,359,0.005806341,0.058063405,0.026236756,0.370512893
0.963636364,0.409090909,1.145454545,1.487272727,462,0.00662521,0.066252101,0.029809034,0.323330578
1.481818182,1.186363636,0.12,0.632727273,477,0.005911212,0.05911212,0.007209465,0.098230909
1.827272727,2.481818182,1.658181818,0.803636364,349,0.006493318,0.064933177,0.251470083,2.839560992
0.618181818,2.222727273,0.290909091,0.12,434,0.005540229,0.055402291,0.028764036,0.446161984
2,1.445454545,1.316363636,0.803636364,366,0.006886333,0.068863334,0.130769757,1.312893223
0.445454545,0.15,0.803636364,1.145454545,361,0.006632442,0.066324419,0.007685085,0.083176364
0.963636364,2.740909091,1.487272727,1.829090909,332,0.00066134,0.006613396,0.002583957,2.812770743
0.790909091,3,2,0.803636364,425,0.005276833,0.052768326,0.242130107,4.14
0.963636364,3,0.290909091,0.803636364,310,0.000693362,0.006933618,0.000608064,0.602181818
1.309090909,1.186363636,0.290909091,1.487272727,310,0.00063928,0.006392797,0.000204413,0.238135537
0.445454545,3,2,1.658181818,332,0.00060811,0.006081097,0.00321563,4.14
1.654545455,2.740909091,1.145454545,0.12,489,0.006319818,0.063198182,0.181732487,2.166314875
0.618181818,2.481818182,0.12,0.12,308,0.000630896,0.006308962,0.000171798,0.205494546
1.136363636,2.740909091,0.803636364,0.974545455,419,0.006902904,0.069029038,0.152113851,1.519859009
0.963636364,2.740909091,0.12,0.12,467,0.005694149,0.056941494,0.015455551,0.226947273
1.654545455,3,1.829090909,0.632727273,485,0.006455909,0.064559089,0.33145322,3.786218182
1.309090909,3,1.829090909,1.829090909,470,0.006482768,0.064827681,0.334216916,3.786218182
0.790909091,1.704545455,0.632727273,0.290909091,466,0.006342807,0.06342807,0.062883839,0.744173554
2,1.704545455,0.461818182,0.803636364,496,0.006333995,0.063339953,0.045770536,0.543161157
1.309090909,1.186363636,0.461818182,0.632727273,366,0.006718605,0.067186047,0.035842471,0.378040166
1.827272727,2.481818182,1.145454545,1.658181818,482,0.006948855,0.069488549,0.198941422,1.961538842
1.654545455,1.445454545,0.290909091,1.487272727,462,0.006186939,0.061869387,0.023327289,0.290142149
0.445454545,0.927272727,1.487272727,1.658181818,387,0.00643259,0.064325903,0.08270291,0.951584132
0.790909091,0.668181818,0.803636364,0.290909091,385,0.006527241,0.065272408,0.033156174,0.370512893
1.309090909,0.668181818,1.658181818,1.145454545,430,0.005125778,0.051257781,0.042188814,0.76449719
1.827272727,0.15,2,0.12,469,0.006111058,0.061110578,0.016236968,0.207
0.790909091,2.481818182,0.12,0.632727273,419,0.006946794,0.069467937,0.02082912,0.205494546
1.481818182,0.927272727,0.461818182,0.974545455,300,0.000685052,0.006850515,0.000291257,0.295479669
1.136363636,1.186363636,2,0.461818182,304,0.006079093,0.060790929,0.127079732,1.637181818
0.790909091,3,1.316363636,1.829090909,426,0.00536525,0.053652504,0.16475099,2.724872727
1.481818182,3,0.12,0.803636364,437,0.005419034,0.054190343,0.015321356,0.2484
0.445454545,1.704545455,0.803636364,0.12,391,0.00550649,0.055064896,0.060196151,0.945185951
1.481818182,0.927272727,0.290909091,0.290909091,310,0.000629433,0.006294331,0.000154887,0.186128926
1.654545455,1.445454545,1.316363636,1.316363636,354,0.000607716,0.006077158,0.001018433,1.312893223
0.618181818,1.704545455,1.829090909,1.829090909,442,0.005614386,0.056143856,0.142429274,2.151260331
1.309090909,2.222727273,1.316363636,2,487,0.006100126,0.061001255,0.157794007,2.018882975
1.654545455,1.186363636,2,0.290909091,437,0.005119787,0.051197871,0.090136883,1.637181818
0.618181818,1.704545455,0.632727273,0.632727273,371,0.006401725,0.064017248,0.06405751,0.744173554
0.963636364,1.963636364,1.487272727,1.487272727,464,0.005533852,0.055338519,0.129615713,2.015119339
0.790909091,2.222727273,1.487272727,2,452,0.005959486,0.059594855,0.170155204,2.281003141
1.309090909,1.704545455,0.974545455,0.974545455,443,0.005287375,0.052873752,0.067304152,1.146198348
1.654545455,2.740909091,1.658181818,0.461818182,416,0.006990817,0.069908168,0.321909306,3.135998677
1.827272727,1.186363636,2,0.974545455,405,0.00669238,0.066923802,0.154013909,1.637181818
1.654545455,1.704545455,1.829090909,0.974545455,338,0.000688299,0.006882986,0.002140664,2.151260331
1.481818182,1.186363636,0.803636364,0.461818182,403,0.006982549,0.069825486,0.067368403,0.657849422
0.445454545,1.445454545,1.829090909,0.632727273,500,0.006315943,0.063159432,0.152850573,1.82426876
1.481818182,0.15,0.12,0.12,416,0.005052351,0.050523508,0.000665902,0.01242
0.618181818,1.704545455,0.974545455,1.145454545,342,0.006251503,0.062515025,0.094087172,1.146198348
1.481818182,2.481818182,0.12,0.632727273,402,0.006613464,0.066134643,0.018878181,0.205494546
1.827272727,2.740909091,0.974545455,1.316363636,383,0.006138408,0.061384079,0.145867698,1.843086943
2,1.963636364,1.487272727,0.290909091,370,0.006291825,0.062918249,0.167554403,2.015119339
1.827272727,1.704545455,1.829090909,1.145454545,326,0.000686405,0.00686405,0.002128902,2.151260331
1.309090909,0.409090909,1.145454545,1.145454545,364,0.006441807,0.064418072,0.028181496,0.323330578
0.445454545,1.963636364,1.316363636,1.829090909,414,0.006853849,0.068538488,0.175977398,1.783553058
2,0.668181818,0.632727273,0.803636364,314,0.00058883,0.005888302,0.000212443,0.291716033
1.827272727,1.445454545,1.829090909,0.290909091,366,0.005648859,0.056488593,0.122267816,1.82426876
1.309090909,1.186363636,1.658181818,1.487272727,406,0.005313983,0.053139829,0.080508399,1.357372562
0.618181818,1.963636364,0.461818182,0.461818182,359,0.006167696,0.061676957,0.049995266,0.625721653
1.827272727,0.668181818,1.658181818,1.145454545,416,0.005112366,0.051123655,0.041968312,0.76449719
0.618181818,0.409090909,0.461818182,2,432,0.005300373,0.053003731,0.007692272,0.130358678
0.790909091,2.740909091,1.316363636,1.145454545,477,0.005899121,0.058991205,0.18196839,2.489542809
2,0.668181818,1.316363636,0.12,492,0.006226422,0.06226422,0.049419522,0.60690347
2,1.704545455,0.12,0.974545455,332,0.000612339,0.006123393,0.000111154,0.141136364
0.963636364,1.445454545,0.290909091,0.632727273,468,0.005806824,0.05806824,0.020548966,0.290142149
1.481818182,3,1.316363636,0.461818182,478,0.005871687,0.058716874,0.197321266,2.724872727
2,2.222727273,2,2,478,0.005930277,0.059302773,0.226577659,3.067363637
1.481818182,0.409090909,0.290909091,0.290909091,429,0.005958187,0.059581871,0.006122888,0.082115702
0.445454545,1.445454545,1.658181818,1.658181818,372,0.006707234,0.067072343,0.156269583,1.653810247
2,2.222727273,0.632727273,1.316363636,414,0.006791093,0.067910929,0.094001111,0.970402315
0.445454545,0.409090909,1.487272727,0.12,348,0.006203633,0.062036328,0.033935443,0.419816529
1.136363636,3,1.829090909,0.12,300,0.000637735,0.006377348,0.003234355,3.786218182
1.481818182,1.704545455,0.803636364,0.974545455,372,0.00514209,0.051420904,0.052492649,0.945185951
1.309090909,0.668181818,1.487272727,1.658181818,437,0.005350469,0.053504693,0.041230626,0.685700331
0.445454545,1.186363636,0.12,0.461818182,319,0.006485235,0.064852352,0.008677636,0.098230909
1.309090909,0.15,0.290909091,1.829090909,349,0.000652058,0.00652058,2.69E-05,0.030109091
0.445454545,0.15,0.461818182,1.829090909,436,0.00518964,0.051896403,0.002703882,0.047798182
0.618181818,0.409090909,1.829090909,1.316363636,497,0.006465072,0.064650722,0.045326563,0.516302479
0.618181818,1.704545455,0.12,0.290909091,477,0.060955471,0.609554707,1.101453382,0.141136364
2,2.481818182,0.461818182,0.803636364,429,0.005160307,0.051603065,0.044232643,0.790842645
0.790909091,2.481818182,0.290909091,0.12,351,0.005342999,0.053429991,0.029870904,0.498168595
0.445454545,1.704545455,1.487272727,1.829090909,426,0.005148338,0.051483383,0.09738325,1.749235537
1.309090909,1.186363636,1.145454545,0.290909091,491,0.006187337,0.061873371,0.075397015,0.937658677
1.309090909,0.927272727,1.658181818,0.974545455,311,0.000514888,0.005148878,0.000590766,1.060934875
1.481818182,2.481818182,0.461818182,0.632727273,303,0.005125085,0.051250854,0.043630894,0.790842645
1.481818182,0.15,1.316363636,1.829090909,450,0.005629771,0.056297712,0.009069838,0.136243636
2,1.186363636,0.290909091,0.290909091,470,0.005754649,0.057546494,0.016563945,0.238135537
2,0.15,1.487272727,0.803636364,415,0.006944892,0.069448921,0.015594225,0.153932727
0.963636364,0.668181818,0.974545455,0.632727273,395,0.006576707,0.065767067,0.040819212,0.449309752
2,0.409090909,1.487272727,1.829090909,488,0.006564532,0.065645319,0.037998712,0.419816529
1.827272727,2.222727273,0.803636364,1.316363636,488,0.006327843,0.063278429,0.103659246,1.23252248
0.618181818,0.927272727,1.829090909,0.632727273,346,0.006316224,0.063162235,0.098063788,1.170285619
1.654545455,2.740909091,0.12,1.316363636,337,0.000604219,0.006042194,0.000174027,0.226947273
0.618181818,3,1.145454545,1.658181818,381,0.006516023,0.065160226,0.211453651,2.371090908
2,3,0.632727273,0.290909091,480,0.005873334,0.05873334,0.094898231,1.309745455
0.618181818,0.409090909,0.12,0.12,312,0.000619143,0.006191426,2.73E-05,0.033872727
1.136363636,1.186363636,1.829090909,1.829090909,354,0.006405165,0.064051654,0.129022284,1.497277189
1.136363636,2.740909091,1.829090909,0.461818182,447,0.006318046,0.063180461,0.290032331,3.459226612
1.481818182,0.15,2,2,441,0.005383146,0.053831455,0.012599242,0.207
0.618181818,3,2,0.290909091,489,0.006036601,0.060366012,0.316874383,4.14
0.963636364,1.186363636,0.290909091,0.12,312,0.000633828,0.006338279,0.000200941,0.238135537
0.618181818,0.15,1.145454545,2,487,0.006089341,0.060893409,0.009233378,0.118554546
0.618181818,3,0.974545455,1.487272727,315,0.000676424,0.006764242,0.001938709,2.017309092
1.136363636,2.740909091,0.632727273,0.974545455,468,0.005728805,0.057288047,0.082487878,1.196631075
1.481818182,1.186363636,1.487272727,0.974545455,412,0.006793058,0.067930582,0.118002177,1.217467933
1.827272727,0.668181818,0.803636364,0.974545455,469,0.006427262,0.064272616,0.032148232,0.370512893
1.654545455,1.704545455,0.290909091,1.829090909,369,0.006215253,0.062152534,0.027760959,0.342148761
1.827272727,0.409090909,0.290909091,0.632727273,491,0.006275265,0.062752647,0.006791913,0.082115702
0.963636364,2.740909091,1.316363636,1.658181818,415,0.005476408,0.054764083,0.156824191,2.489542809
0.790909091,0.409090909,0.461818182,0.803636364,489,0.006147251,0.061472509,0.010346743,0.130358678
1.481818182,0.927272727,0.974545455,1.316363636,327,0.000629768,0.006297679,0.000519423,0.623531901
1.309090909,2.222727273,1.487272727,0.461818182,413,0.006813544,0.068135438,0.222419984,2.281003141
0.963636364,1.704545455,0.803636364,1.829090909,377,0.006540338,0.065403379,0.08492185,0.945185951
0.963636364,2.740909091,2,1.487272727,387,0.006643686,0.066436857,0.350666028,3.782454546
1.654545455,0.15,0.803636364,0.290909091,451,0.005540013,0.055400132,0.005361957,0.083176364
1.654545455,2.222727273,2,1.145454545,385,0.006557573,0.065575733,0.277046961,3.067363637
0.445454545,0.927272727,1.829090909,0.632727273,500,0.006492438,0.064924376,0.103611809,1.170285619
0.618181818,1.704545455,0.461818182,0.974545455,464,0.005896037,0.058960371,0.039659838,0.543161157
1.654545455,1.186363636,0.974545455,1.829090909,314,0.000633174,0.006331736,0.000671764,0.797754049
0.790909091,3,0.803636364,1.487272727,401,0.006725849,0.067258491,0.158061458,1.663527273
1.827272727,3,0.803636364,1.658181818,356,0.006058055,0.060580546,0.1282325,1.663527273
1.827272727,0.15,1.487272727,1.658181818,367,0.006247475,0.062474745,0.012619489,0.153932727
1.481818182,0.927272727,0.974545455,1.487272727,445,0.005244478,0.052444775,0.036021762,0.623531901
1.654545455,3,0.461818182,1.829090909,315,0.000682008,0.006820082,0.000933947,0.955963637
0.790909091,1.445454545,0.974545455,1.487272727,432,0.005156283,0.051562831,0.05427889,0.971976198
0.618181818,0.668181818,1.487272727,0.632727273,450,0.006923286,0.069232859,0.06903363,0.685700331
1.827272727,2.222727273,0.290909091,1.487272727,384,0.006415228,0.064152284,0.038567246,0.446161984
1.654545455,0.15,1.316363636,2,379,0.006442548,0.064425476,0.011877726,0.136243636
1.481818182,0.927272727,0.461818182,0.632727273,340,0.0054736,0.054735995,0.018594113,0.295479669
2,1.186363636,0.290909091,0.974545455,440,0.005562754,0.05562754,0.015477676,0.238135537
1.827272727,0.409090909,0.461818182,0.974545455,366,0.006057113,0.060571131,0.010045536,0.130358678
1.827272727,1.704545455,0.12,1.145454545,349,0.006266315,0.062663147,0.011640326,0.141136364
1.136363636,1.445454545,1.316363636,1.145454545,341,0.000682446,0.006824456,0.001284302,1.312893223
1.481818182,2.481818182,0.632727273,1.829090909,306,0.000684596,0.006845955,0.00106661,1.083516695
1.481818182,1.963636364,1.316363636,1.658181818,358,0.006551677,0.065516767,0.16080249,1.783553058
1.481818182,2.481818182,1.487272727,1.316363636,326,0.000617922,0.006179221,0.002042579,2.546886942
1.309090909,0.927272727,1.658181818,1.145454545,376,0.006842178,0.068421781,0.104322814,1.060934875
1.654545455,0.409090909,0.12,1.316363636,303,0.000650791,0.006507909,3.01E-05,0.033872727
0.618181818,0.15,2,0.12,462,0.005689244,0.056892442,0.014072826,0.207
1.654545455,0.409090909,0.461818182,0.632727273,495,0.006214649,0.062146491,0.010574869,0.130358678
1.827272727,0.409090909,0.461818182,0.290909091,470,0.00578984,0.057898396,0.009178566,0.130358678
0.618181818,2.222727273,0.632727273,1.658181818,370,0.006617407,0.066174065,0.089254325,0.970402315
1.827272727,0.15,1.829090909,0.290909091,442,0.005259962,0.052599618,0.011001265,0.189310909
0.790909091,0.409090909,0.803636364,1.487272727,458,0.005681008,0.05681008,0.015377337,0.226844628
1.827272727,2.740909091,0.290909091,1.658181818,369,0.006195063,0.061950625,0.044350061,0.550175207
0.790909091,0.15,0.632727273,0.803636364,302,0.000582842,0.005828422,4.67E-05,0.065487273
0.618181818,0.15,2,1.487272727,492,0.006251782,0.062517819,0.016993381,0.207
0.790909091,0.668181818,1.316363636,0.461818182,497,0.006177754,0.061777543,0.048649984,0.60690347
0.445454545,0.409090909,1.145454545,1.829090909,460,0.005634822,0.056348223,0.021562993,0.323330578
0.963636364,0.15,0.632727273,1.145454545,469,0.005812107,0.058121068,0.0046465,0.065487273
0.445454545,0.409090909,1.145454545,1.658181818,325,0.000693958,0.006939579,0.000327051,0.323330578
1.827272727,1.704545455,0.974545455,1.658181818,466,0.005595021,0.055950212,0.075364196,1.146198348
1.309090909,1.704545455,2,2,455,0.00561412,0.056141196,0.155723018,2.352272728
2,2.222727273,0.12,1.145454545,427,0.005135885,0.051358848,0.010196447,0.184041818
0.618181818,2.222727273,0.461818182,0.461818182,333,0.000695137,0.006951368,0.000718867,0.708282149
1.309090909,2.481818182,1.829090909,0.290909091,361,0.006201669,0.062016691,0.253030773,3.132235041
1.136363636,2.222727273,0.461818182,0.461818182,431,0.005489168,0.054891683,0.044825094,0.708282149
1.654545455,2.222727273,1.829090909,1.829090909,318,0.006264305,0.062643054,0.231216181,2.805243471
0.445454545,2.222727273,0.974545455,1.316363636,442,0.0066478,0.066478002,0.138737896,1.494642646
0.790909091,1.963636364,1.145454545,1.487272727,350,0.000677641,0.006776405,0.001496885,1.551986777
1.309090909,1.963636364,0.461818182,1.829090909,381,0.006556991,0.06556991,0.056505689,0.625721653
1.309090909,0.668181818,0.974545455,0.803636364,300,0.000673834,0.006738344,0.000428503,0.449309752
1.136363636,2.740909091,0.290909091,0.974545455,413,0.006842571,0.068425708,0.054105502,0.550175207
1.481818182,0.15,0.12,0.974545455,452,0.005546203,0.055462034,0.000802444,0.01242
0.618181818,0.927272727,1.829090909,1.487272727,385,0.006532275,0.065322752,0.104887234,1.170285619
1.136363636,2.481818182,1.316363636,0.461818182,349,0.000686054,0.006860535,0.0022285,2.254212892
1.827272727,2.222727273,0.12,1.658181818,383,0.00643649,0.064364895,0.016014614,0.184041818
1.654545455,1.445454545,0.632727273,0.290909091,375,0.006361102,0.063611019,0.053633558,0.631059174
0.618181818,0.668181818,0.974545455,1.829090909,393,0.006776891,0.067768909,0.04334197,0.449309752
2,1.186363636,0.290909091,0.632727273,426,0.005923177,0.059231772,0.017548317,0.238135537
0.618181818,1.186363636,1.145454545,1.487272727,406,0.006918413,0.069184133,0.094266982,0.937658677
0.963636364,1.963636364,1.487272727,0.632727273,466,0.005568733,0.05568733,0.131254856,2.015119339
0.272727273,3,1.487272727,0.461818182,370,0.006356403,0.063564033,0.261267667,3.078654545
1.654545455,0.668181818,0.290909091,1.658181818,423,0.005268329,0.052683292,0.007818954,0.134122314
0.618181818,0.15,0.290909091,0.974545455,301,0.006033832,0.060338319,0.002302427,0.030109091
1.481818182,1.963636364,1.145454545,0.461818182,465,0.006351062,0.063510617,0.131486904,1.551986777
2,3,0.803636364,1.316363636,456,0.005580112,0.055801121,0.108797168,1.663527273
0.618181818,0.668181818,0.974545455,0.290909091,445,0.006012528,0.060125279,0.034116296,0.449309752
1.309090909,1.445454545,0.803636364,1.487272727,351,0.006035766,0.060357656,0.061330945,0.801517686
1.827272727,0.927272727,0.974545455,0.974545455,486,0.006108904,0.061089038,0.048875034,0.623531901
1.136363636,0.409090909,0.461818182,1.658181818,356,0.006677463,0.066774633,0.01220857,0.130358678
0.618181818,0.15,1.316363636,0.974545455,361,0.006128019,0.061280187,0.010746281,0.136243636
1.309090909,2.740909091,0.461818182,1.658181818,310,0.000561011,0.005610107,0.000577376,0.873403141
1.136363636,1.704545455,0.803636364,1.316363636,477,0.005865016,0.05865016,0.068290058,0.945185951
0.618181818,0.409090909,0.803636364,1.829090909,328,0.000672587,0.006725867,0.000215539,0.226844628
0.963636364,2.222727273,0.290909091,1.829090909,309,0.00062064,0.0062064,0.000360972,0.446161984
2,1.186363636,0.12,1.658181818,411,0.006941967,0.069419674,0.009942947,0.098230909
1.654545455,2.740909091,0.974545455,0.974545455,393,0.006997756,0.06997756,0.189568089,1.843086943
1.654545455,3,1.145454545,0.632727273,416,0.005007244,0.05007244,0.124866959,2.371090908
0.790909091,0.927272727,0.12,1.829090909,392,0.006689759,0.066897591,0.007217065,0.076778182
1.481818182,1.963636364,1.316363636,0.974545455,397,0.006797711,0.067977109,0.173106443,1.783553058
0.963636364,1.186363636,0.803636364,0.290909091,464,0.005766481,0.057664813,0.045946252,0.657849422
0.790909091,0.15,0.290909091,1.658181818,453,0.006343403,0.063434026,0.002544743,0.030109091
0.963636364,0.409090909,0.974545455,0.290909091,391,0.006527958,0.065279583,0.024622241,0.275087603
0.963636364,0.15,0.461818182,0.290909091,373,0.006257078,0.062570776,0.003930577,0.047798182
1.481818182,2.222727273,1.316363636,1.316363636,317,0.000620303,0.006203027,0.001631625,2.018882975
1.827272727,2.222727273,0.632727273,1.829090909,356,0.006451951,0.064519506,0.084846847,0.970402315
1.309090909,1.186363636,2,0.461818182,319,0.000634628,0.006346281,0.00138496,1.637181818
1.654545455,0.15,0.974545455,0.803636364,380,0.00629811,0.062981103,0.008403589,0.100865454
0.618181818,1.963636364,1.487272727,1.145454545,399,0.005488417,0.054884166,0.127496049,2.015119339
2,0.668181818,1.316363636,0.290909091,454,0.00655478,0.065547795,0.054769353,0.60690347
