H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
1.827272727,1.445454545,0.461818182,0.803636364,466,0.006438848,0.064388483,0.040109086,0.460600661
1.481818182,0.927272727,0.290909091,0.12,483,0.006325454,0.063254536,0.015642243,0.186128926
1.654545455,1.186363636,0.803636364,2,469,0.006488712,0.064887124,0.058176202,0.657849422
0.445454545,2.481818182,1.487272727,0.803636364,407,0.006964142,0.069641417,0.259445823,2.546886942
0.618181818,0.668181818,0.974545455,1.316363636,414,0.006873906,0.068739058,0.044591781,0.449309752
0.445454545,0.668181818,0.803636364,0.632727273,460,0.006536928,0.065369276,0.033254659,0.370512893
1.309090909,1.186363636,0.12,0.290909091,425,0.00660368,0.066036801,0.008997504,0.098230909
1.136363636,0.927272727,1.145454545,0.12,458,0.006709988,0.067099876,0.069307413,0.732882644
1.654545455,1.186363636,0.632727273,0.12,419,0.000639429,0.006394285,0.000444805,0.517944793
1.654545455,2.222727273,2,0.632727273,413,0.00692014,0.069201401,0.308529615,3.067363637
1.136363636,2.222727273,0.974545455,1.316363636,471,0.006877708,0.068777075,0.148500047,1.494642646
1.309090909,1.704545455,0.461818182,0.12,446,0.006369627,0.063696268,0.046286943,0.543161157
0.618181818,0.409090909,0.974545455,1.487272727,491,0.00633974,0.063397404,0.023222864,0.275087603
0.963636364,2.740909091,1.487272727,1.145454545,425,0.000663431,0.00663431,0.002600325,2.812770743
0.790909091,0.927272727,1.829090909,1.487272727,468,0.006776907,0.067769071,0.112890332,1.170285619
0.618181818,1.704545455,1.829090909,1.658181818,422,0.006463363,0.064633634,0.188760855,2.151260331
0.445454545,0.409090909,1.829090909,0.12,420,0.006189067,0.061890667,0.04153903,0.516302479
1.654545455,0.668181818,0.632727273,0.12,499,0.006497058,0.064970575,0.025863991,0.291716033
1.827272727,2.481818182,0.461818182,2,495,0.006871251,0.068712507,0.078426618,0.790842645
0.963636364,1.445454545,0.290909091,1.316363636,467,0.0065148,0.065147998,0.025865137,0.290142149
2,2.740909091,1.658181818,2,593,0.006190892,0.061908923,0.252455122,3.135998677
1.481818182,0.927272727,0.803636364,1.658181818,424,0.006374768,0.063747675,0.043888089,0.514181157
0.618181818,2.740909091,1.658181818,0.803636364,431,0.006356456,0.06356456,0.266138546,3.135998677
1.654545455,1.445454545,0.632727273,0.12,470,0.006902694,0.069026939,0.063155203,0.631059174
1.827272727,2.740909091,1.829090909,0.803636364,471,0.006718734,0.067187335,0.327986269,3.459226612
1.481818182,2.481818182,0.632727273,0.803636364,413,0.006242238,0.062422382,0.088678451,1.083516695
1.136363636,1.963636364,1.145454545,0.290909091,462,0.006277224,0.062772237,0.12844732,1.551986777
0.790909091,0.15,0.632727273,1.145454545,488,0.00699275,0.069927499,0.006725967,0.065487273
1.309090909,3,0.290909091,1.658181818,413,0.000598022,0.005980219,0.000452339,0.602181818
0.618181818,1.963636364,1.487272727,0.12,427,0.00607749,0.0607749,0.156333156,2.015119339
0.272727273,3,1.487272727,2,440,0.006597743,0.065977431,0.281483913,3.078654545
1.827272727,2.740909091,0.290909091,0.974545455,471,0.006811633,0.068116327,0.053617342,0.550175207
0.790909091,0.409090909,1.829090909,0.974545455,473,0.006141993,0.061419933,0.04090955,0.516302479
0.963636364,2.481818182,0.803636364,2,483,0.006517482,0.065174824,0.12278355,1.376190745
0.790909091,0.15,0.461818182,0.632727273,482,0.006439385,0.064393845,0.004162957,0.047798182
0.790909091,0.668181818,0.461818182,1.487272727,432,0.006300509,0.063005094,0.017752843,0.212919173
1.136363636,0.15,0.12,2,448,0.006102007,0.061020074,0.000971335,0.01242
0.963636364,0.927272727,1.145454545,0.12,434,0.006150852,0.061508521,0.05823805,0.732882644
1.136363636,1.963636364,0.974545455,2,485,0.006054366,0.060543656,0.101660294,1.320420497
2,2.222727273,0.290909091,0.974545455,415,0.006831778,0.068317777,0.043738293,0.446161984
1.654545455,1.445454545,1.658181818,0.974545455,441,0.00670889,0.067088897,0.156346729,1.653810247
1.481818182,3,1.658181818,0.12,412,0.006779381,0.067793809,0.331348023,3.432436363
1.136363636,1.963636364,1.658181818,1.829090909,439,0.006260534,0.062605343,0.18495536,2.24668562
0.618181818,1.963636364,1.829090909,2,461,0.000691631,0.006916313,0.002489984,2.478251901
1.654545455,2.222727273,1.487272727,1.829090909,401,0.006783677,0.067836765,0.220474294,2.281003141
0.618181818,2.222727273,1.145454545,0.974545455,424,0.006467284,0.064672842,0.154333015,1.756762809
1.481818182,1.445454545,0.803636364,0.290909091,474,0.00619203,0.061920301,0.064547741,0.801517686
0.790909091,1.963636364,1.487272727,0.461818182,475,0.006368467,0.063684665,0.171661272,2.015119339
2,1.963636364,1.658181818,0.461818182,440,0.006131108,0.061311081,0.177387115,2.24668562
2,2.222727273,1.829090909,1.487272727,439,0.000601337,0.006013366,0.002130628,2.805243471
1.827272727,2.481818182,0.12,2,402,0.000628376,0.006283757,0.000170428,0.205494546
0.790909091,2.740909091,1.487272727,0.974545455,412,0.006469609,0.064696094,0.24728187,2.812770743
0.790909091,0.15,1.829090909,0.632727273,417,0.000605447,0.006054474,0.000145757,0.189310909
0.618181818,1.445454545,1.658181818,1.829090909,429,0.00061988,0.006198802,0.00133476,1.653810247
0.790909091,0.409090909,2,0.290909091,349,0.000617335,0.006173351,0.0004519,0.564545454
1.827272727,1.704545455,0.461818182,0.12,460,0.0065209,0.065208998,0.048511598,0.543161157
1.309090909,0.927272727,1.829090909,1.658181818,488,0.006156058,0.061560576,0.09315347,1.170285619
1.309090909,0.409090909,1.658181818,1.487272727,426,0.006066031,0.060660312,0.036175302,0.468059504
0.445454545,1.186363636,2,2,410,0.000526601,0.005266007,0.00095359,1.637181818
