LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn", PDmax, flux (W)
3.48135028,2.006172926,3.287080877,3.121704216,0.822270265,1.87E-08,331.2209995,0.033087454,-0.025277408,44.55789482,0.913233583
1.902699842,1.72446467,1.544602608,1.144895163,0.332327874,2.12E-09,310.9519862,0.040784625,-0.017569796,150.1715476,0.329940244
2.840306095,1.82164151,0.504243691,2.504324429,0.226142073,3.41E-08,380.1726478,0.015849942,-0.042632187,0.946955391,0.211837309
2.960196257,1.336106318,3.907177611,2.097926449,0.51445564,1.46E-08,367.375709,0.036814996,-0.021604673,91.90656737,1.24250524
1.33184505,1.798281732,4.933432967,2.730476048,0.869204479,6.76E-08,427.4708316,-0.012500256,-0.012501348,23.28539627,4.278956594
4.863130825,0.993889764,4.144609041,4.416480655,0.08919192,5.37E-09,407.1330216,0.034003843,-0.024525982,30.00429536,1.114940795
3.988097705,2.512935993,2.570929782,3.991376474,0.739223679,9.23E-08,419.1941519,0.029749246,-0.028637601,17.75830624,0.705630156
4.727745237,0.964442387,4.566952676,0.877952756,0.565225905,1.42E-08,394.3954406,0.046609331,-0.011922695,81.85497283,0.968904141
4.526723077,0.712415725,2.344314529,4.50639139,0.432904205,8.85E-08,355.5474297,0.035339997,-0.023214429,16.07778439,0.654771021
3.190549905,1.590615066,2.862203379,2.62295218,0.7196724,1.13E-09,490.565063,0.032464029,-0.025953242,48.31591716,0.742320216
4.648434058,2.145768599,2.647083953,3.847379652,0.919241982,2.86E-08,317.281832,-0.012209213,-0.012209755,2.808868684,0.599281005
0.898216259,1.594292062,2.514307427,1.130176541,0.25628559,4.30E-08,487.7781999,0.040599985,-0.017333015,384.6441533,1.618878465
1.381922881,1.19188533,3.988358462,3.518237866,0.179282629,1.28E-09,362.2476094,0.037601173,-0.020522988,153.5900208,3.244747691
0.7035228,1.89542796,2.870460083,1.563467079,0.871593571,1.44E-08,402.5322891,-0.009370802,-0.009371667,24.92398984,2.690220364
1.963986488,1.367505839,1.925227049,2.472714037,0.65205777,4.02E-08,321.7684646,0.037776166,-0.020567254,74.57477218,0.677870351
2.249047804,2.832169225,1.661711754,0.575882915,0.444187419,1.32E-08,314.1862137,0.036708164,-0.021528286,127.8421382,0.276372735
1.721070643,2.806612849,0.669862926,1.182247871,0.565933613,1.34E-09,385.9090897,0.026054561,-0.032111959,26.205977,0.126405096
4.229318791,1.75592955,3.124378228,0.914362219,0.721052515,2.44E-08,448.3394753,0.045855716,-0.012595477,104.0010745,0.516100597
2.10538997,1.319709985,1.534826369,1.578848778,0.745728709,1.32E-09,353.8729555,0.036714834,-0.02167674,84.09520957,0.344567538
1.764205294,2.342831035,1.166602649,0.950081405,0.877904763,4.31E-08,412.4695778,0.040343993,-0.017750803,148.4793627,0.209735685
2.942132374,0.591782359,3.442234837,3.61359512,0.43415851,1.22E-09,355.7300681,0.027179332,-0.031301506,32.28421045,1.258392069
1.134159012,1.686922515,3.56544166,0.63067956,0.314069819,1.88E-09,377.7226122,0.043778498,-0.014225294,285.2486357,2.415160853
4.109886413,1.340808486,3.884697015,3.279832253,0.62569784,3.55E-09,481.2892637,0.026253732,-0.032225144,26.24515596,1.022265158
0.835477897,2.801339713,2.766096034,1.133185239,0.424155109,1.85E-08,471.1679251,0.038914464,-0.018430293,384.7063223,2.049778314
4.940991215,0.530007568,4.523245723,4.753226557,0.585138609,8.97E-08,403.2035087,0.029194566,-0.02932094,22.16303626,1.295690155
3.975101462,1.882037189,4.71354239,4.698923329,0.427987219,1.72E-09,347.6211255,0.035773202,-0.022635194,43.54301466,1.690507136
1.394220567,2.351658953,4.133169229,1.514763961,0.187696208,1.93E-09,338.6367825,0.036850988,-0.021113014,207.3025529,2.747531083
0.524849527,1.712544969,3.360170669,3.264895842,0.472484076,5.47E-09,490.8174706,0.031614563,-0.02529429,262.8949831,6.208302682
4.169576428,0.713507575,1.866744291,0.626023938,0.67182604,4.70E-08,340.5433193,0.047110872,-0.011471109,113.3819278,0.189375945
3.680858047,2.931153475,4.923252147,4.693048444,0.769355427,8.60E-09,461.6336622,0.030774201,-0.027474107,36.31204856,1.936659398
3.780532256,1.795026078,1.733612752,2.853442887,0.493993649,4.40E-09,373.7940419,0.03135675,-0.02712824,19.152305,0.359758134
3.97071656,2.035465611,1.411956149,0.694504181,0.198714101,1.33E-08,497.1319695,0.02369392,-0.034825769,29.12781918,0.119162685
0.833200933,1.091524457,2.489693512,2.041249969,0.423218939,3.32E-09,373.6311481,0.038500003,-0.019456112,284.3998365,2.020022756
2.113095778,1.708745213,0.755782568,0.845822578,0.757664536,6.34E-09,370.303325,0.035995326,-0.022372349,73.79197811,0.087767347
1.021410768,1.57287373,4.903225091,2.268249977,0.421573344,4.63E-09,427.4927258,0.0397413,-0.017961603,321.7570223,5.413714625
4.383965416,0.687239605,3.147951004,3.51466854,0.676877714,4.06E-08,492.3033613,0.043343184,-0.015206939,51.68799996,0.735751569
3.304841571,0.765400884,3.006284412,2.614504586,0.506492314,7.06E-08,495.2419212,0.035877402,-0.022646636,59.52888631,0.772500535
1.989041112,2.593681299,3.45108326,2.226749786,0.267100813,3.30E-08,441.4412293,0.036852507,-0.021301843,126.8227024,1.498228323
0.786012576,1.099549881,2.736606415,1.036206705,0.766535457,7.55E-09,450.9212731,0.044956561,-0.012731814,548.8033162,2.143391082
1.899420448,0.987395679,0.644285827,1.602225706,0.125792109,1.02E-08,412.6804352,0.036042597,-0.022437882,26.09974826,0.165138207
1.963324949,1.762278628,3.2554008,0.950644795,0.522401254,1.78E-09,451.1551478,0.043250111,-0.014994865,199.1195293,1.199260189
3.783227803,2.421867828,3.722782446,4.133744292,0.238001931,3.12E-08,471.955931,0.036341736,-0.022047101,42.30121752,1.183687957
3.369008621,0.654866296,2.375370773,1.108579226,0.110359066,1.56E-08,397.2190606,0.036111057,-0.022460532,80.63311435,0.394686417
4.492457342,1.942019799,3.907830074,3.179180149,0.502640543,6.38E-08,423.9724526,0.027401269,-0.031062209,26.90423911,0.930712751
2.624967163,0.798026107,1.521505847,2.042331861,0.49960594,2.52E-09,407.463339,0.031276992,-0.027248327,36.20928377,0.329606297
1.038174107,0.591152627,1.49574466,1.516902731,0.686210812,3.31E-08,412.4941227,0.031816108,-0.02652007,129.8558692,0.657432038
3.709601543,0.63185988,1.226376445,3.377607978,0.720275624,2.34E-08,478.009582,0.025980026,-0.03257545,5.814076444,0.356319755
3.923532719,2.585410271,2.173976419,2.556510392,0.70501234,3.40E-09,371.123366,0.0350713,-0.023331478,35.70602716,0.405104044
3.025747389,0.794931209,4.311554159,2.300654603,0.41860286,2.16E-08,341.6368051,0.041748403,-0.016727769,115.8267141,1.480304033
3.96935231,0.612878411,4.22560428,3.167834022,0.618520809,7.06E-08,391.2560221,0.044399947,-0.014114672,84.65963185,1.194313563
2.722080184,1.594749718,2.222708936,2.710704328,0.569250718,6.87E-08,341.6170381,0.037364673,-0.02104546,56.00697689,0.627012783
2.852297732,2.60998368,3.151034312,1.865678938,0.429405581,2.75E-08,399.6800851,0.035895023,-0.022417046,87.41691026,0.854927507
2.423934583,1.156020941,3.743673424,3.015775795,0.587491425,1.25E-09,480.7016211,0.032218939,-0.026147679,69.42145452,1.573570744
0.61438607,1.554281544,1.585430486,3.512743594,0.902523089,5.55E-08,423.4867041,-0.005294053,-0.005297967,2.11440354,2.554783671
0.985511421,0.599806331,1.256634887,0.620119214,0.223604369,2.07E-08,471.0865707,0.041806871,-0.016600981,364.9506661,0.379437706
0.641431336,1.622696285,4.874431969,2.59642278,0.865194886,4.18E-09,333.2381839,-0.011301375,-0.011303612,39.97108895,8.412814234
3.363846851,1.944032702,3.279007909,0.759574781,0.098109963,2.37E-09,480.1747185,0.038143399,-0.020312336,84.33717207,0.704601002
1.914601915,1.927267634,4.916370748,1.338824363,0.327550292,1.71E-09,420.3574329,0.040667362,-0.017504975,177.4756221,2.782858938
2.78856811,1.33106673,2.019901942,3.022289303,0.309330724,1.26E-09,306.3519577,0.024018745,-0.034443178,17.41804707,0.601884998
4.584049133,1.288832952,3.66364265,4.397850119,0.613728597,3.22E-08,426.6237911,0.021087082,-0.037408856,10.78785837,1.001685712
1.621815031,0.766559047,1.501716364,4.472625556,0.168102457,2.96E-09,490.2793913,0.033272296,-0.025088053,18.96821347,1.373764432
2.346723154,1.416995802,1.675400771,0.814748046,0.844112851,1.12E-09,315.8334001,-0.003837661,-0.003837828,1.296645499,0.28126952
3.899980123,0.748736672,2.803559546,2.385972888,0.795696268,6.23E-09,416.4912261,0.043841216,-0.01469113,76.66982403,0.563877072
1.529591745,2.416489862,1.938281565,3.123529174,0.636859238,9.23E-09,483.0957206,0.025805048,-0.03220735,33.0424302,1.07805531
0.846409594,2.915685744,1.254297037,1.16181457,0.462572449,2.18E-09,301.9390337,0.036863022,-0.020659343,232.5979082,0.528744118
1.803881538,2.925186142,1.682963159,3.944444975,0.889660438,1.22E-09,426.1825853,-0.010147599,-0.010149244,2.409353702,1.082917612
1.225495793,2.662677748,0.660867775,3.849058663,0.797671899,2.39E-09,394.9804584,0.025040522,-0.032790089,4.026698511,1.12044076
4.683639436,2.001980373,3.669906297,4.565034562,0.499383633,2.28E-08,369.3978637,0.026220789,-0.032241861,15.6556135,1.009608068
4.136541708,2.252164243,2.714524957,0.538187054,0.681686019,1.46E-09,425.507298,0.048785138,-0.009636621,104.3184346,0.390769209
3.350316904,1.213014507,0.924093799,1.475079098,0.560236957,1.29E-08,310.5404189,0.036079623,-0.022461881,29.90220103,0.111876839
4.421572656,2.07692605,1.272622969,4.222340214,0.579148015,1.96E-09,450.6126093,0.025154186,-0.033332037,3.271701299,0.430828968
4.116524346,1.639123874,0.961405422,3.517610229,0.347878462,2.46E-09,300.8958954,0.024370891,-0.034158704,2.754030946,0.310857915
1.339565265,1.705043349,3.256667637,4.524754342,0.465876144,6.11E-09,361.3871488,0.029428889,-0.028539573,60.01494046,3.016991231
4.516515493,2.394441401,0.923946636,0.757308445,0.120309288,1.59E-09,400.7917275,0.036086011,-0.02244207,46.17764083,0.051965522
2.927040089,1.204795889,3.894270499,3.186337846,0.371613822,2.22E-09,375.4044501,0.035704835,-0.022723785,69.76253472,1.421041668
4.133480698,1.295099029,0.592299137,3.060709587,0.676245664,4.99E-09,361.495187,0.02627539,-0.032275635,1.656864701,0.216180196
4.53241085,2.811604478,1.622191046,0.660534874,0.907894427,4.56E-09,466.1670291,-0.002197349,-0.002197414,0.226606808,0.127864239
1.931015637,0.640560737,4.508000042,2.810849346,0.916757701,3.15E-08,486.9665149,-0.01284984,-0.012851589,16.16577323,2.483566727
0.99523366,1.714085746,3.733390932,3.242841401,0.550150582,1.41E-09,474.742537,0.036018638,-0.021664322,199.0057327,3.881273503
1.525708231,2.782002001,0.828357498,1.360819284,0.595960027,5.26E-08,404.4862626,0.021787557,-0.036292065,22.9763451,0.20148283
2.421985049,2.02590752,4.19506747,1.729983124,0.217149067,4.29E-08,476.832835,0.036841291,-0.021459006,118.8108598,1.668749264
4.181066447,1.866017686,2.718658047,3.381563058,0.675777297,3.40E-08,484.172313,0.029589093,-0.028870043,22.34112037,0.620594965
4.373287625,1.124360448,4.310523622,2.607354264,0.113592913,4.16E-09,381.8476794,0.031806724,-0.026710359,44.25372345,1.054875223
0.531284587,1.358188723,3.203328985,4.361061459,0.306217117,4.42E-08,356.6891719,0.032609663,-0.024528264,189.9084911,7.121703321
2.798362862,2.63012104,3.568248644,2.040717947,0.651527013,2.32E-09,319.6530412,0.045409327,-0.012816469,144.6250274,1.106958804
2.378349514,1.898045329,4.970757022,1.699968463,0.329279118,1.77E-09,395.8183842,0.037572081,-0.020702198,126.3547388,2.336288764
1.499485147,1.786855484,1.545509957,4.931896732,0.094862187,1.23E-09,489.2593841,0.033332234,-0.024840485,18.16710322,1.750228029
1.039394153,0.748949284,3.307755086,4.600110966,0.798683368,7.56E-08,412.1815056,0.028222756,-0.029606351,71.07485288,4.010925622
2.019268271,0.540070391,2.571446255,0.630467352,0.329297006,4.13E-09,433.5124204,0.036108714,-0.022399718,128.7627323,0.72509008
4.743093668,2.909212972,0.677533788,3.968278769,0.106794702,6.84E-08,322.5767637,0.036029194,-0.022448365,2.130592274,0.31036135
1.954413194,1.442465418,0.565117887,0.996506482,0.117309348,3.51E-09,328.7039328,0.036033857,-0.022414418,44.19636424,0.079588027
2.834557798,2.008032655,1.0365286,0.623683377,0.276582919,6.53E-08,392.8946524,0.03606831,-0.02239501,88.25134558,0.093795473
3.663585315,0.699287683,3.420912832,1.731629822,0.210214352,6.42E-08,490.2529598,0.042687677,-0.015861741,101.6095446,0.763087869
2.136333211,2.207785714,3.052233896,1.712056456,0.746870106,7.04E-08,372.1569283,0.033898606,-0.02423866,106.3616824,1.054745063
4.873019372,2.831416772,2.990433025,4.186934431,0.339515642,9.82E-09,475.4968083,0.039404506,-0.019041919,29.31497858,0.710045284
4.831012827,1.939163132,0.643355431,3.698002607,0.774226207,5.39E-08,324.0577187,0.023890104,-0.034629468,0.953904681,0.265494413
1.633020331,0.815288306,2.611863484,4.917242423,0.206461398,7.97E-08,423.4034414,0.028551767,-0.029725996,30.00794583,2.188393081
2.737618277,1.954303819,4.66080268,3.701808051,0.493591262,4.46E-09,420.1225954,0.031605635,-0.026683095,59.72368473,2.142548948
1.853952394,2.415868033,2.289163412,2.38214999,0.66923342,6.88E-09,471.97495,0.032921206,-0.025192744,75.87733592,0.871300351
1.781782225,1.516041341,3.312151114,3.645174474,0.636791768,2.74E-08,300.6633409,0.027974322,-0.030208032,53.76188164,1.970386406
0.665991263,2.69959437,4.00918404,4.997565802,0.591016469,3.99E-09,337.9863334,0.027237843,-0.02929926,118.0846575,8.177847581
3.243039503,2.121707383,4.027663756,3.695638472,0.882339442,3.22E-08,343.9375251,0.028533534,-0.029752517,36.67163043,1.443674107
2.762055605,2.748122296,2.836760371,3.927566102,0.255672633,1.41E-09,489.9932176,0.038890771,-0.01939514,51.08984843,1.11266959
0.731654381,2.058763278,4.360783754,4.722642568,0.494347284,1.11E-08,330.7387313,0.029473363,-0.027581415,147.1119408,8.043226262
1.753909089,0.82821993,2.26120142,1.011430676,0.845593295,1.76E-09,307.39247,-0.011513601,-0.01151395,15.88274711,0.674216919
4.587196487,1.274229278,4.499119467,3.671529321,0.120104389,3.86E-09,406.8922989,0.035995694,-0.022510162,45.23064349,1.211095994
1.578028508,1.004487371,1.581022249,4.328626811,0.100299441,3.29E-09,405.7116925,0.035949773,-0.022370831,26.41659259,1.374901475
1.152026924,2.772066244,1.760973831,4.794703701,0.259972059,4.76E-08,468.8093931,0.030179466,-0.027590428,25.75923929,2.294770289
2.702537421,2.401000168,0.739042809,1.449361804,0.619719098,2.44E-09,489.77193,0.036002439,-0.022384143,27.08852047,0.111277541
4.935427043,2.190995922,4.080118264,2.767680535,0.283891664,4.14E-08,407.7090884,0.042176532,-0.016300361,65.25309167,0.864218831
1.589248722,1.252415799,2.376748563,3.562496814,0.221215895,3.87E-08,485.9988365,0.032154418,-0.026105448,54.5868961,1.459504039
3.524609963,0.96011193,1.531024763,1.613604783,0.462922084,9.95E-09,445.0318303,0.036094919,-0.022460852,47.38030759,0.208551482
3.927288269,2.39112772,1.543056249,3.202127885,0.602238262,2.94E-09,352.9118256,0.024084672,-0.03435924,7.621976355,0.358547905
1.569368948,1.685394865,4.556299736,1.659104521,0.273701936,2.84E-09,485.6841422,0.039898287,-0.018214006,216.1233101,2.978679008
3.776973569,1.06447388,4.252624702,2.000556592,0.320622068,8.51E-09,433.4886352,0.042766589,-0.015741422,100.7122633,1.127909484
2.155024097,2.041554945,2.990888984,2.486834134,0.602203374,1.04E-09,382.8191865,0.03457847,-0.023655605,87.85246719,1.141317435
3.345376238,0.60083463,3.272498602,2.881355444,0.90116458,1.16E-08,436.0484169,0.035584529,-0.022898736,57.27915886,0.909262405
3.350883698,1.315425635,2.634465067,2.522146422,0.657267555,8.05E-08,380.2625655,0.033434627,-0.025039316,46.92646201,0.613367612
2.910986078,1.671392486,2.262499443,2.719379839,0.754613729,2.04E-09,322.8367536,0.038706515,-0.019687038,57.16672175,0.600868172
0.906303965,0.869895835,4.619645965,1.843649403,0.380129085,1.40E-08,443.7957494,0.039507895,-0.018331654,365.4970408,5.32108532
4.25886123,2.961636194,1.065257166,1.215342923,0.295028923,8.39E-08,464.8175224,0.038191102,-0.020281992,40.35507676,0.087803737
1.943510292,1.022743411,2.383010554,0.713074898,0.458840969,5.26E-08,445.7612398,0.038783773,-0.019641916,162.514901,0.653135558
1.339333297,0.825882825,2.050528586,1.381904251,0.776419546,5.02E-08,345.8229336,0.024355389,-0.033921045,80.52589227,0.799942471
0.683488137,1.008837185,2.741678241,3.118746387,0.460669678,4.40E-08,491.3270027,0.029384174,-0.028315336,148.9701183,3.565596183
3.159018244,2.422652833,2.559343435,4.037519515,0.812052868,4.15E-09,305.0509123,0.022191349,-0.036109177,12.19677651,0.895651254
3.549039628,1.563764148,2.835002892,1.261614188,0.939894783,6.04E-08,366.5370595,-0.016781149,-0.016781305,16.68950063,0.493212239
0.57464523,1.913539849,1.129635398,0.98849911,0.114823999,7.63E-08,352.0184869,0.034200644,-0.023420352,309.0435349,0.614554776
2.804418762,0.552522892,2.809136757,3.871806622,0.09086914,9.81E-09,309.6252455,0.019839416,-0.038647326,13.14765838,1.075290051
1.519230988,0.586078271,1.590884662,1.873212487,0.184630733,5.12E-09,381.1459386,0.043567515,-0.014887408,141.9907052,0.561473463
3.403277557,1.614563875,1.32949107,4.781747477,0.395932708,6.74E-09,424.622968,0.015499383,-0.042970597,1.390839468,0.697974357
1.284648931,2.541638108,0.791753985,3.714430868,0.167937988,4.66E-09,476.5105727,0.034109716,-0.023931295,10.81310134,1.03424228
2.240309058,0.716766419,2.423488644,1.802942365,0.070831626,1.73E-08,461.6179173,0.036069651,-0.022411668,99.21959103,0.69354963
4.715284949,1.845907755,3.319896575,2.856642738,0.334213445,1.33E-08,393.7361037,0.036078515,-0.022420541,42.54976755,0.656480143
1.118844249,2.783074216,3.774170045,0.856151007,0.216225167,8.42E-09,444.7408852,0.041081344,-0.016662409,291.0909237,2.741445211
2.03479858,1.469931886,3.556924994,1.029544307,0.888385397,1.55E-09,468.7247577,-0.009647254,-0.009647496,9.544615209,1.357221647
1.010630846,2.573914579,2.617253236,1.291360466,0.652532904,3.92E-08,393.0614393,0.038394824,-0.019085051,300.0525757,1.572500317
4.661121282,0.834239136,2.24554338,3.98625617,0.870827231,2.24E-09,457.0108868,-0.011863585,-0.0118649,1.988692415,0.53665827
4.44802709,2.838486224,2.191819593,2.812358117,0.925095839,1.69E-09,396.5304837,-0.003742402,-0.003742749,0.32361058,0.390130207
1.660737325,2.378558294,3.380219586,0.547552052,0.497388419,1.76E-08,377.2991982,0.042208155,-0.015837354,170.1548719,1.484876545
3.469928207,2.853335982,2.726574597,3.530824374,0.260887197,6.27E-09,405.2181676,0.024458134,-0.033908837,17.50728062,0.77468764
4.177499901,2.191543084,4.321095116,2.406605804,0.224355908,1.32E-09,435.1709475,0.039264372,-0.019178238,73.09015964,1.08556665
2.998403652,1.40850983,4.436158929,2.798835642,0.250626976,5.14E-09,445.3764113,0.038192041,-0.020213878,91.34272333,1.643390041
2.883427603,2.845452931,1.267521701,1.463523095,0.687733977,3.50E-08,371.3472538,0.036742072,-0.021572077,54.43960782,0.184599386
1.588335309,1.188916941,1.113051432,2.983020028,0.086401155,1.70E-08,414.2640503,0.035922037,-0.022446692,27.21776603,0.655999571
0.918962455,1.330431305,3.336804167,4.906189579,0.096224966,5.32E-09,481.9741748,0.032145328,-0.025710885,95.91374105,4.850514791
4.537470911,2.252021045,1.855515866,0.83050111,0.597328648,2.42E-09,495.26258,0.036058548,-0.022418161,60.2183144,0.177284602
4.551881257,2.413290749,0.583568234,1.777628298,0.627851432,1.83E-08,345.4496182,1.93E-06,-0.058508128,2.18E-08,0.076741432
3.348956558,2.82350871,4.498892012,1.593489168,0.648736632,5.96E-08,338.5662331,0.044990533,-0.013257245,129.0306645,1.365335318
2.02563406,1.012006023,1.521053453,1.618471898,0.384692454,1.96E-08,435.3371267,0.031707157,-0.026753854,62.98549672,0.359559169
2.071443086,2.494995088,4.681762933,2.204178609,0.7753504,4.22E-08,382.9367772,0.041845479,-0.01608925,175.7799268,2.464315351
3.766800555,2.346365133,3.728455029,4.181494031,0.530262129,1.10E-08,304.8444677,0.019493712,-0.038889218,12.10450347,1.200439651
4.53699617,0.659486391,3.931940705,4.607864105,0.144919067,2.73E-08,369.3723741,0.03587899,-0.022643441,32.37035391,1.14639231
4.491888909,1.468057853,1.406576731,1.409967894,0.767389376,6.20E-08,461.3489487,0.036083645,-0.022457235,39.05572016,0.134005353
4.009439956,1.206913643,1.553874915,2.943274721,0.907761008,3.52E-08,459.4853861,-0.013487128,-0.01348776,2.705694808,0.315077757
3.389142408,1.261226061,2.845704892,3.366045375,0.104032682,6.60E-08,398.9370298,0.035403511,-0.023080418,41.75232085,0.808364716
0.878629842,2.957367199,1.274449337,2.848223635,0.402216205,7.28E-09,394.515587,0.026960158,-0.03059192,37.79773122,1.185127462
1.227329213,2.106943534,1.874442617,2.453343774,0.48876444,6.43E-08,415.9014885,0.028201207,-0.029791271,64.9580618,1.036419741
