LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn",PDmax,flux (W),A,Qin_per_A,efficiency,V_diff
4.492457342,1.942019799,3.907830074,3.179180149,0.502640543,6.38e-08,423.9724526,0.027401269,-0.031062209,26.90423911,0.930712751,2.5378322307054506e-05,36673.533409309974,0.0007336145882024574,0.058463478
2.624967163,0.798026107,1.521505847,2.042331861,0.49960594,2.52e-09,407.463339,0.031276992,-0.027248327,36.20928377,0.329606297,6.486099472910911e-06,50817.336116505045,0.0007125380143301044,0.058525319000000006
1.038174107,0.591152627,1.49574466,1.516902731,0.686210812,3.31e-08,412.4941227,0.031816108,-0.02652007,129.8558692,0.657432038,4.538245983233773e-06,144864.78706285113,0.0008963936083629533,0.058336178
3.709601543,0.63185988,1.226376445,3.377607978,0.720275624,2.34e-08,478.009582,0.025980026,-0.03257545,5.814076444,0.356319755,1.2912234837900087e-05,27595.51382647779,0.00021068918957477126,0.058555475999999995
3.923532719,2.585410271,2.173976419,2.556510392,0.70501234,3.4e-09,371.123366,0.0350713,-0.023331478,35.70602716,0.405104044,1.1261918854772058e-05,35971.13859760619,0.0009926298847369867,0.058402778
3.025747389,0.794931209,4.311554159,2.300654603,0.41860286,2.16e-08,341.6368051,0.041748403,-0.016727769,115.8267141,1.480304033,2.3882510868295285e-05,61982.763921407684,0.001868692306894621,0.05847617200000001
3.96935231,0.612878411,4.22560428,3.167834022,0.618520809,7.06e-08,391.2560221,0.044399947,-0.014114672,84.65963185,1.194313563,2.789090392209501e-05,42820.89839526039,0.0019770634204949447,0.058514619000000004
2.722080184,1.594749718,2.222708936,2.710704328,0.569250718,6.87e-08,341.6170381,0.037364673,-0.02104546,56.00697689,0.627012783,1.2288352968012184e-05,51024.96523595775,0.0010976387074641528,0.058410133
2.852297732,2.60998368,3.151034312,1.865678938,0.429405581,2.75e-08,399.6800851,0.035895023,-0.022417046,87.41691026,0.854927507,1.3409775135098123e-05,63754.05242719935,0.0013711584900398485,0.058312068999999994
2.423934583,1.156020941,3.743673424,3.015775795,0.587491425,1.25e-09,480.7016211,0.032218939,-0.026147679,69.42145452,1.573570744,2.3109994351271764e-05,68090.4858773107,0.0010195470575006251,0.058366618
0.985511421,0.599806331,1.256634887,0.620119214,0.223604369,2.07e-08,471.0865707,0.041806871,-0.016600981,364.9506661,0.379437706,1.9636790787974803e-06,193227.9617870963,0.0018887052511691465,0.058407852
3.363846851,1.944032702,3.279007909,0.759574781,0.098109963,2.37e-09,480.1747185,0.038143399,-0.020312336,84.33717207,0.704601002,1.1328846715215752e-05,62195.2984017033,0.0013560055862307803,0.058455735
1.914601915,1.927267634,4.916370748,1.338824363,0.327550292,1.71e-09,420.3574329,0.040667362,-0.017504975,177.4756221,2.782858938,2.5963152006752436e-05,107184.94184666948,0.0016557887613904102,0.058172337
2.78856811,1.33106673,2.019901942,3.022289303,0.309330724,1.26e-09,306.3519577,0.024018745,-0.034443178,17.41804707,0.601884998,1.3214236486323597e-05,45548.223586200824,0.00038240892176697155,0.058461923
4.584049133,1.288832952,3.66364265,4.397850119,0.613728597,3.22e-08,426.6237911,0.021087082,-0.037408856,10.78785837,1.001685712,3.276336313608733e-05,30573.348280497168,0.0003528517148670173,0.058495938
1.621815031,0.766559047,1.501716364,4.472625556,0.168102457,2.96e-09,490.2793913,0.033272296,-0.025088053,18.96821347,1.373764432,2.2259531402089685e-05,61715.78400213014,0.0003073478491230915,0.058360349
3.899980123,0.748736672,2.803559546,2.385972888,0.795696268,6.23e-09,416.4912261,0.043841216,-0.01469113,76.66982403,0.563877072,1.3552812750238785e-05,41605.90737816142,0.0018427629358768252,0.058532346
1.529591745,2.416489862,1.938281565,3.123529174,0.636859238,9.23e-09,483.0957206,0.025805048,-0.03220735,33.0424302,1.07805531,1.351336992604797e-05,79776.94060768459,0.00041418522631108713,0.05801239800000001
0.846409594,2.915685744,1.254297037,1.16181457,0.462572449,2.18e-09,301.9390337,0.036863022,-0.020659343,232.5979082,0.528744118,2.9230741520912634e-06,180886.31710616,0.001285878953815457,0.057522365000000006
1.225495793,2.662677748,0.660867775,3.849058663,0.797671899,2.39e-09,394.9804584,0.025040522,-0.032790089,4.026698511,1.12044076,1.5251998807248798e-05,73461.89664449026,5.481342974966612e-05,0.057830611000000004
4.683639436,2.001980373,3.669906297,4.565034562,0.499383633,2.28e-08,369.3978637,0.026220789,-0.032241861,15.6556135,1.009608068,3.4307752781014785e-05,29427.98598451766,0.0005319974499184743,0.05846265
4.136541708,2.252164243,2.714524957,0.538187054,0.681686019,1.46e-09,425.507298,0.048785138,-0.009636621,104.3184346,0.390769209,7.658291047269051e-06,51025.64091493342,0.0020444316373000155,0.058421759
3.350316904,1.213014507,0.924093799,1.475079098,0.560236957,1.29e-08,310.5404189,0.036079623,-0.022461881,29.90220103,0.111876839,3.0298076947067456e-06,36925.3927222693,0.000809800487564383,0.058541503999999994
4.421572656,2.07692605,1.272622969,4.222340214,0.579148015,1.96e-09,450.6126093,0.025154186,-0.033332037,3.271701299,0.430828968,1.944772610398794e-05,22153.179538643053,0.0001476854053068538,0.058486223000000004
4.116524346,1.639123874,0.961405422,3.517610229,0.347878462,2.46e-09,300.8958954,0.024370891,-0.034158704,2.754030946,0.310857915,1.329788210861643e-05,23376.49803637363,0.00011781195548258562,0.058529595
1.339565265,1.705043349,3.256667637,4.524754342,0.465876144,6.11e-09,361.3871488,0.029428889,-0.028539573,60.01494046,3.016991231,3.107928595333101e-05,97074.02015382034,0.0006182389517288176,0.057968462
4.516515493,2.394441401,0.923946636,0.757308445,0.120309288,1.59e-09,400.7917275,0.036086011,-0.02244207,46.17764083,0.051965522,1.4271934670440345e-06,36410.98645695851,0.0012682337207366428,0.058528081
2.927040089,1.204795889,3.894270499,3.186337846,0.371613822,2.22e-09,375.4044501,0.035704835,-0.022723785,69.76253472,1.421041668,2.5318091588233627e-05,56127.519052834825,0.0012429292421482243,0.05842862
4.133480698,1.295099029,0.592299137,3.060709587,0.676245664,4.99e-09,361.495187,0.02627539,-0.032275635,1.656864701,0.216180196,9.718761443644654e-06,22243.5952619627,7.448727067216938e-05,0.05855102499999999
0.99523366,1.714085746,3.733390932,3.242841401,0.550150582,1.41e-09,474.742537,0.036018638,-0.021664322,199.0057327,3.881273503,2.445422820317947e-05,158715.84540522803,0.0012538491805396317,0.05768296
1.525708231,2.782002001,0.828357498,1.360819284,0.595960027,5.26e-08,404.4862626,0.021787557,-0.036292065,22.9763451,0.20148283,2.5380052681990923e-06,79386.29305642356,0.000289424587235351,0.058079622
2.421985049,2.02590752,4.19506747,1.729983124,0.217149067,4.29e-08,476.832835,0.036841291,-0.021459006,118.8108598,1.668749264,2.0591432687176995e-05,81040.9498625702,0.0014660595662005478,0.058300297
4.181066447,1.866017686,2.718658047,3.381563058,0.675777297,3.4e-08,484.172313,0.029589093,-0.028870043,22.34112037,0.620594965,1.8826070291748163e-05,32964.65780604351,0.0006777294792941588,0.058459136
4.373287625,1.124360448,4.310523622,2.607354264,0.113592913,4.16e-09,381.8476794,0.031806724,-0.026710359,44.25372345,1.054875223,2.5378910153818977e-05,41565.032407085615,0.0010646863694603074,0.058517083
0.531284587,1.358188723,3.203328985,4.361061459,0.306217117,4.42e-08,356.6891719,0.032609663,-0.024528264,189.9084911,7.121703321,2.928017363531634e-05,243226.13006673372,0.0007807898396767443,0.057137927
2.798362862,2.63012104,3.568248644,2.040717947,0.651527013,2.32e-09,319.6530412,0.045409327,-0.012816469,144.6250274,1.106958804,1.6896928124615732e-05,65512.428995147566,0.00220759678153152,0.058225795999999996
2.378349514,1.898045329,4.970757022,1.699968463,0.329279118,1.77e-09,395.8183842,0.037572081,-0.020702198,126.3547388,2.336288764,2.7598318146956888e-05,84653.30211644107,0.0014926144124442822,0.058274279
1.499485147,1.786855484,1.545509957,4.931896732,0.094862187,1.23e-09,489.2593841,0.033332234,-0.024840485,18.16710322,1.750228029,2.671220640229842e-05,65521.65712711039,0.0002772686775115634,0.058172719
1.039394153,0.748949284,3.307755086,4.600110966,0.798683368,7.56e-08,412.1815056,0.028222756,-0.029606351,71.07485288,4.010925622,3.210226460847232e-05,124942.13946954542,0.0005688621403615747,0.057829107000000005
2.019268271,0.540070391,2.571446255,0.630467352,0.329297006,4.13e-09,433.5124204,0.036108714,-0.022399718,128.7627323,0.72509008,7.009824924291417e-06,103439.1140764896,0.001244816658085301,0.058508432
4.743093668,2.909212972,0.677533788,3.968278769,0.106794702,6.84e-08,322.5767637,0.036029194,-0.022448365,2.130592274,0.31036135,1.620628842237778e-05,19150.674226644664,0.00011125416519464731,0.058477559
1.954413194,1.442465418,0.565117887,0.996506482,0.117309348,3.51e-09,328.7039328,0.036033857,-0.022414418,44.19636424,0.079588027,1.3123833948753611e-06,60643.884485873576,0.0007287851794898648,0.058448275
2.834557798,2.008032655,1.0365286,0.623683377,0.276582919,6.53e-08,392.8946524,0.03606831,-0.02239501,88.25134558,0.093795473,1.463372493364084e-06,64095.41892124651,0.0013768744641240846,0.05846332
3.663585315,0.699287683,3.420912832,1.731629822,0.210214352,6.42e-08,490.2529598,0.042687677,-0.015861741,101.6095446,0.763087869,1.470118644458201e-05,51906.54998333343,0.0019575476434597486,0.058549418
2.136333211,2.207785714,3.052233896,1.712056456,0.746870106,7.04e-08,372.1569283,0.033898606,-0.02423866,106.3616824,1.054745063,1.224726906442262e-05,86120.83701696027,0.0012350284331195433,0.05813726599999999
4.873019372,2.831416772,2.990433025,4.186934431,0.339515642,9.82e-09,475.4968083,0.039404506,-0.019041919,29.31497858,0.710045284,2.6473109606503946e-05,26821.37816652847,0.0010929706295474183,0.058446424999999996
4.831012827,1.939163132,0.643355431,3.698002607,0.774226207,5.39e-08,324.0577187,0.023890104,-0.034629468,0.953904681,0.265494413,1.408912949197599e-05,18843.918863206116,5.0621353653913055e-05,0.05851957199999999
1.633020331,0.815288306,2.611863484,4.917242423,0.206461398,7.97e-08,423.4034414,0.028551767,-0.029725996,30.00794583,2.188393081,3.100110390560353e-05,70590.81146476342,0.0004250970516889293,0.058277762999999996
